album_uri,album_name,artist_names,artist_uris,label,release_date
spotify:album:3fq06DDIkadDRB9RuBb22v,Afrodisíaco,Rauw Alejandro,spotify:artist:1mcTU81TzQhprhouKaTkpq,Sony Music Latin/Duars Entertainment,2020-11-13
spotify:album:0p2yf6DucEgvj8Uk8KXJJv,PAPI JUANCHO,Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau,Sony Music Latin,2020-08-21
spotify:album:69iuPQsXel3luOSDNF0q2Q,ENOC,Ozuna,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY,Aura Music Corp.,2020-09-04
spotify:album:6xS6mQz1fQZ6eZE654J15I,Por Primera Vez,Camilo,spotify:artist:28gNT5KBp7IjEOQoevXf9N,Sony Music Latin,2020-04-17
spotify:album:5lJqux7orBlA1QzyiBGti1,YHLQMDLG,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,Rimas Entertainment LLC.,2020-02-29
spotify:album:7xV2TzoaVc0ycW7fwBwAml,Fine Line,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,Columbia,2019-12-13
spotify:album:7AHKVMfKtUv9P06zjFHsGB,Atrevido,Trueno,spotify:artist:2x7PC78TmgqpEIjaGAZ0Oz,NEUEN,2020-07-23
spotify:album:2mX8ktJoWvyidWBU9U8Jis,Colores,J Balvin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,UMLE - Latino,2020-03-19
spotify:album:3euz4vS7ezKGnNSwgyvKcd,Positions,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,Republic Records,2020-10-30
spotify:album:573TG9cHInMww2QgBeKqTy,Señales,Callejeros,spotify:artist:2osoVujXgV0PA8lhqDKYFw,Pelo Music S.A.,2006-03-21
spotify:album:3N1rzrLFvLAOVT8Pf5ZpbV,Libra,Lali,spotify:artist:22P1OY4TRFRwhP0q29loQ8,Ariola,2020-11-12
